job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
84590370,Software Engineer / Developer (C#),WTF Synergy Sdn. Bhd.,"RM 6,000 – RM 8,000 per month",Kuala Lumpur,"Build scalable C# apps, design databases, and power real-time systems in a collaborative team.",02-06-2024,https://my.jobstreet.com/job/84590370?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84565769,Application Developer (Java / .NET),Wiseview Information Technology,"RM 7,000 – RM 10,000 per month",Kuala Lumpur,Work and collaborate with cross-functional teams to deliver high-quality software solutions,01-06-2024,https://my.jobstreet.com/job/84565769?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84581724,Senior Frontend Developer,ZENITHSOFTWARE TECHNOLOGY SDN. BHD.,"RM 8,000 – RM 12,000 per month",Kuala Lumpur,Lead innovation. Drive impact. Join us.,01-06-2024,https://my.jobstreet.com/job/84581724?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84333305,Web Content Developer,Private Advertiser,"RM 5,000 – RM 7,500 per month","Bangsar South, Kuala Lumpur",Web Content Developer,29-05-2024,https://my.jobstreet.com/job/84333305?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Hytech Consulting Management Sdn Bhd,,"KL Eco City, Kuala Lumpur","Responsible for designing, developing, and maintaining the backend components of our trading system",03-06-2024,,False,,,
,,CXS ANALYTICS SDN. BHD.,"RM 6,800 – RM 9,000 per month","Bangsar, Kuala Lumpur",Join CXS as a Full Stack Developer! Build innovative HR solutions with modern technologies and make an impact on talent acquisition and development.,02-06-2024,,False,,,
84606934,Software Engineer / Developer (Java & Springboot),ST Comp Holdings Sdn Bhd,"RM 6,000 – RM 8,000 per month",Kuala Lumpur,"Build an exciting large scale, online platform in Malaysia and Southeast",03-06-2024,https://my.jobstreet.com/job/84606934?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84558213,.NET Senior Developer (Banking),Avanade Malaysia Sdn Bhd,"RM 6,500 – RM 7,500 per month","Tun Razak Exchange, Kuala Lumpur","Design, develop software modules, collaborate in teams, enhance functionality, adopt standards, update skills.",01-06-2024,https://my.jobstreet.com/job/84558213?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,IQI Holdings Sdn Bhd,,Kuala Lumpur,IQI is recruiting passionate Full Stack Developer to join our Team!,02-06-2024,,False,,,
84527652,Software Engineer - Alpha Domain (Hybrid Working),,,"Kuala Lumpur City Centre, Kuala Lumpur","As a Software Engineer on the Alpha Domain team, you’ll solve complex problems, design solutions, and implement systems across the full tech stack.",02-06-2024,https://my.jobstreet.com/job/84527652?type=standard&ref=search-standalone&origin=cardTitle,False,,,
